Tensorflow;1
AngularJS;1
Проектирование пользовательских интерфейсов;1
База данных: Oracle;1
Нагрузочное тестирование;2
исполнение поручений руководителя;1
PyTorch;2
Docker;82
MySQL;42
React.js;1
KISS;1
Dimensional Modeling are plus;1
Tibbo Aggregate;1
Gunicorn;1
Hadoop;1
Apache;1
Математический анализ;3
MS SQL;8
СУБД;1
Aiosmtplib;3
Разработка ПО;5
Умение работать в условиях многозадачности;1
C#;3
Деловое общение;3
ООП;41
WebSockets;1
NoSQL;5
Tornado;1
Алгоритмы и структуры данных;3
TensorFlow;1
MS Excel;1
Rest API;1
Управление командой разработки;1
CUDA;1
webpac;1
ОПП;1
Желание учиться и развиваться;2
Разработка продукта;1
Unit Testing;2
БД MySQL;1
Администрирование серверов Linux;2
ELK;1
FIrewall;3
No-SQL;1
Mathematical Statistics;2
NumPy;1
Разработка нового продукта;4
Retail;1
multithreading;1
HTTP;7
back-end;3
Google Cloud;2
TestComplete;1
инженер;1
СУБД MySQL;1
Linux;152
Модульное тестирование;1
MongoDB;35
OpenApi;1
SQL-запросы;1
GitHub;2
cloud ops;1
golang;1
OpenStack;4
JSON;1
Организация мероприятий;4
Исполнение личных поручений руководителя;1
Сетевые технологии;6
Аналитика;1
HTTPS;1
VPN;3
Прием посетителей;1
Lambda;1
Asyncpg;3
C++;17
Нейронные сети;1
Repository - Git;1
Plotly;1
Тестирование;8
Scikit-learn;2
WebSocket;1
Yandex Maps API;1
Системное мышление;1
Backend;8
Работа с базами данных;4
flask или аналоги;1
developer;1
FastAPI;15
FastApi;3
Databricks;1
Аналитическое мышление;2
Go;5
AsyncIO;2
Asyncio;7
Умение принимать решения;1
PyTest;1
Agile Project Management;3
Celery;11
YouTrack;1
TCP/IP;6
руководство командой разработчиков;2
Microsoft;1
RESTful;1
BigQuery;1
разработчик;1
Solr;2
Адекватность;1
Инновационный менеджмент;1
Математическое моделирование;1
Алгоритмы;3
Airflow;2
Информационная безопасность;1
Networking;3
Rabbit;1
JS;1
Jupyter Notebook;2
Microservices;1
Работа с большим объемом информации;1
Data Science;3
seaborn;1
Java Script;1
Pytest;9
SIEM;1
PHP;2
Cистемы управления базами данных;2
PyCharm;6
Vue;3
Local Network;1
RabbitMQ;29
pandas;2
AirFlow;1
OpenCV;4
Django;27
Работа в команде;6
CI/CD;16
Data Analysis;1
Webhooks;1
DRF;4
Sentry APM;4
Управление проектами;5
ETL;5
Twisted;1
API Docker;1
Unix;3
Golang;8
vue;1
Ответственность;1
Digital Marketing;1
DRY;1
Web Application Development;1
Теория вероятностей;2
NodeJS;1
Build;1
SCALA;2
